Drink name,Spec,Drink link,Method,Glassware,garnish,Family,Month and date,Notes,Dink image,Origin
The Right Hand,"40ml aged rum
20ml campari
20ml sweet vermouth
2 dash chocolate bitters",Aged Rum,Stir,Coupette,orange twist,Negroni,,Micky McIlroy,,Modern Classic
Martinez (diffords),"60ml Genever
30ml Sweet Vermouth
7.5 Dry Vermouth
7.5 Dry Curacao
dash Ango
",Genever,Stir,Coupette,orange twist,Martini,,,,
Rome with a view,"30ml Campari
30ml Dolin
30ml lime
20ml sugar
top soda",Campari,shake and top,Highball,orange slice,Aromatic,,,,Modern Classic
St Clemence 2,"50ml Campari
2 dash orange bitters
top bitter lemon",Campari,Build,Highball,orange wedge,Highball,,,,Classic
Aviation 1,"45ml Calvados
15ml cassis
25ml Lime
dash Absinthe",Calvados,Shake,Coupette,,Aromatic,,,,Classic
Black velvet (house),"Guinness 
Top champagne ",Beer,Build,Flute,,champagne,,,,
Kitty Highball,"50ml Dry red wine
20ml Sweetened ginger juice
15ml lime
top soda",Red wine,shake and top,Highball,Ginger,Highball,,WC Whitfield Heres how 1941,,Classic
Bellini,"50ml Peach syrup
100ml Prosecco",Champagne,Stir,Custom,,champagne,,Max's peach syrup TBC,,Classic
Champagne CTL Original,"130ml Champagne
1 sugar cube soaked with ango",Champagne,Build,Coupette,,champagne,,"1850 San Francisco 
Nicknamed ""Chorus girls milk""",,Classic
Seasonal Bellini,"50ml seasonal syrup
100ml Prosecco
",Champagne,Stir,Custom,,champagne,,"Max’s peach syrup
Overripe peaches
Water and brewers yeast. 

Ferment until it breaks down. Strain and at 80% sugar and malic acid ",,Classic
Blackthorn (Irish),"40ml Irish 
40ml sweet vermouth
2 dash ango
1 dash absinthe ",Irish Whisky,Stir,Coupette,Lemon Twist,Manhatten,,,,Classic
Cameron’s kick,"25ml scotch
25ml Irish
20ml Orgeat
20ml lemon ",Irish Whisky,Shake,Coupette,Lemon Twist,Sour,,,,Classic
Airmail,"25ml gold rum
15ml lime juice
15ml honey syrup 3:1
Top champagne ",Gold rum,shake and top,Custom,,champagne,,Handbook for hosts 1949,,Classic
Chet baker,"50ml aged rum
7.5ml cut honey
7.5ml sweet vermouth 
2 dash ango",Gold rum,Stir,Rocks,"Lemon disc,Wu tang ice stamp",Sipper,,Sam Ross M&H 2005,,Modern Classic
Venetian Spritz,"60ml Aperol
30ml Prosecco
30ml soda",Aperol,Build,Custom,orange slice,Spritz,,Original Aperol bottle serve,,Classic
,,Japanese,Build,Custom,,Highball,,,,
Mizuwari,"50ml Nikka FTB
150ml highland spring",Japanese,Build,Highball,,Highball,,Bourbon & branch for the American version,,
Naked Ape,"Jamaican Rum
Dark rum
Banana liqueur 
Cinnamon syrup
Lemon juice 
Angostura bitters ",Tiki,Build,Ceramic,,Tiki,,Smugglers cove. Recipe by Martin Cate for the San Francisco band Ape,,Classic
Pisco Sour,"50ml Pisco
15ml lime
10ml lemon
15ml sugar
egg white",pisco,dry shake and shake,Coupette,Ango bitters,Sour,,,,Classic
Charlie Chaplin,"30ml sloe
30ml apry
30ml lime juice ",Sloe gin,Shake,Coupette,,Aromatic,,,,
