Drink name,Spec,Drink link,Method,Glassware,garnish,Family,Month and date,Notes,Dink image,Origin
Commando,"45ml bourbon
20ml Triple sec
20ml lemon
dash Absinthe",American Whiskey,Shake,Coupette,Lemon Twist,Sour,,,,
Dallas Texan,"45ml rye
15ml apry
15ml grenadine 
15-20ml lime juice",American Whiskey,Shake,Coupette,Cherry,Sour,,Check speck,,Original
Frisco Sour,"30ml Scotch
30ml Benedictine
25ml lemon
10ml sugar

egg white",American Whiskey,dry shake and shake,Custom,Ango bitters,Sour,,,,Classic
Green Point,"50ml rye
15ml sweet vermouth 
15ml yellow chartreuse 
2 dash Ango 
1 dash orange ",American Whiskey,Stir,Coupette,Lemon Twist,Manhatten,,Micky Mcilroy milk&honey 2005,,
Left Hand,"40ml Bourbon
20ml campari
20ml sweet vermouth
2 dash chocolate bitters",American Whiskey,Stir,Coupette,orange twist,Negroni,,Sam Ross,,Modern Classic
Little Italy,"50ml rye whiskey
15ml cynar
15ml sweet vermouth
",American Whiskey,Stir,Coupette,Cherry,Aromatic,,"Audrey Saunders, Pegu Club NYC 2006",,Modern Classic
Manhattan,"50ml Rye
30ml sweet vermouth
dash ango",American Whiskey,Stir,Coupette,Cherry,Manhatten,,,,Classic
Manhattan AB,"35ml Rye
35ml sweet vermouth
10ml Haydens mix
dash ango
dash absinthe",American Whiskey,Stir,Coupette,Lemon Twist,Manhatten,,"Batch Amount = 600mls
400mls Luxardo Maraschino
200mls Cointreau 
100 grams frozen raspberries",,
Manhattan Harrys,"40ml Rye
25ml sweet vermouth
5ml sugar
5ml curaçao
dash absinthe
dash ango",American Whiskey,Stir,Coupette,Lemon Twist,Manhatten,,,,Classic
New York sour,"50ml Bourbon
25ml lemon
15ml sugar
Egg white
Shiraz float",American Whiskey,dry shake and shake,Coupette,,Sour,,,,Classic
Old Fashioned (House),"60ml Michters Rye
5ml sugar
4 dash ango",American Whiskey,Stir,Rocks,orange twist,Sipper,,,,Classic
Trinidad Sour,"20ml lemon, 30ml ango, 30ml orgeat, 15ml rye ",American Whiskey,Shake,Coupette,,Sour,,"Giuseppe Gonzalez, Clover Club NYC 2009",,Modern Classic
Vieux Carre,"2 dash ango
2 dash peychauds
5ml benedictine
20ml sweet vermouth
20ml cognac
20ml rye whiskey",American Whiskey,Stir,Rocks,Lemon disc,Aromatic,,"Walter Bergeron, Hotel Monteleone New Orleans",,Classic
Whiskey sour,"50ml michters bourbon 
25ml lemon
20ml simple syrup 
2dash wonder foam",American Whiskey,Shake,Rocks,,Sour,,,,Classic
